entity_id,segment_id,year,quarter,metric_id,sub_metric_id,value,currency,org_currency,conversion_rate,decimal_conversion,scope,source_extracted_id,source_type,source_original_id,data_quality,source_uri,notes
spotify,total,2012,,royalty_distribution_costs,,438052092,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2013,,royalty_distribution_costs,,701693369,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2014,,royalty_distribution_costs,,1027029010,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2015,,royalty_distribution_costs,,1900863734,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,unknown,,,
spotify,total,2011,,share_of_cost_of_revenue,,0.977,,,,,worldwide,statista,Graph,the_guardian,,,
spotify,total,2012,,share_of_cost_of_revenue,,0.8982,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2013,,share_of_cost_of_revenue,,0.8284,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2014,,share_of_cost_of_revenue,,0.8396,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2015,,share_of_cost_of_revenue,,0.8835,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2016,,share_of_cost_of_revenue,,0.8641,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2017,,share_of_cost_of_revenue,,0.7924,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2018,,share_of_cost_of_revenue,,0.7427,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2019,,share_of_cost_of_revenue,,0.7454,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2020,,share_of_cost_of_revenue,,0.7443,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2021,,share_of_cost_of_revenue,,0.732,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2022,,share_of_cost_of_revenue,,0.7505,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2023,,share_of_cost_of_revenue,,0.7435,,,,,worldwide,statista,Graph,unknown,,,
spotify,total,2024,,share_of_cost_of_revenue,,0.6985,,,,,worldwide,statista,Graph,unknown,,,
apple_music,total,2015,,subscribers,,6500000,,,,1.00E+06,worldwide,business_of_apps,Table,apple,,,
apple_music,total,2016,,subscribers,,15000000,,,,1.00E+06,worldwide,business_of_apps,Table,apple,,,
apple_music,total,2017,,subscribers,,27000000,,,,1.00E+06,worldwide,business_of_apps,Table,apple,,,
apple_music,total,2018,,subscribers,,40000000,,,,1.00E+06,worldwide,business_of_apps,Table,apple,,,
apple_music,total,2019,,subscribers,,50000000,,,,1.00E+06,worldwide,business_of_apps,Table,apple,,,
apple_music,total,2020,,subscribers,,72000000,,,,1.00E+06,worldwide,business_of_apps,Table,apple,,,
apple_music,total,2021,,subscribers,,80000000,,,,1.00E+06,worldwide,business_of_apps,Table,apple,,,
apple_music,total,2022,,subscribers,,88000000,,,,1.00E+06,worldwide,business_of_apps,Table,apple,,,
apple_music,total,2023,,subscribers,,93000000,,,,1.00E+06,worldwide,business_of_apps,Table,apple,,,
apple_music,total,2024,,subscribers,,95000000,,,,1.00E+06,worldwide,business_of_apps,Table,apple,,,
spotify,total,2021,,streams_share,,0.06,,,,,discovery,duetti,Graph,unknown,,,Sample based on independent artists with over 500k streams per year that opted into discovery mode
spotify,total,2022,,streams_share,,0.05,,,,,discovery,duetti,Graph,unknown,,,Sample based on independent artists with over 500k streams per year that opted into discovery mode
spotify,total,2023,,streams_share,,0.13,,,,,discovery,duetti,Graph,unknown,,,Sample based on independent artists with over 500k streams per year that opted into discovery mode
spotify,total,2024,,streams_share,,0.26,,,,,discovery,duetti,Graph,unknown,,,Sample based on independent artists with over 500k streams per year that opted into discovery mode
amazon_music,total,2021,,payout_per_stream,,0.0091,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
amazon_music,total,2022,,payout_per_stream,,0.0089,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
amazon_music,total,2023,,payout_per_stream,,0.0089,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
amazon_music,total,2024,,payout_per_stream,,0.0088,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
apple_music,total,2021,,payout_per_stream,,0.0066,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
apple_music,total,2022,,payout_per_stream,,0.0063,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
apple_music,total,2023,,payout_per_stream,,0.0064,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
apple_music,total,2024,,payout_per_stream,,0.0062,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
youtube_music,total,2021,,payout_per_stream,,0.0048,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
youtube_music,total,2022,,payout_per_stream,,0.0044,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
youtube_music,total,2023,,payout_per_stream,,0.0043,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
youtube_music,total,2024,,payout_per_stream,,0.0048,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
spotify,total,2021,,payout_per_stream,,0.0032,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
spotify,total,2022,,payout_per_stream,,0.0031,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
spotify,total,2023,,payout_per_stream,,0.003,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
spotify,total,2024,,payout_per_stream,,0.003,usd,,,1.00E-03,worldwide,duetti,Table,unknown,,,
spotify,total,2021,,payout_per_stream,,0.00408,usd,,,1.00E-03,usa,duetti,Graph,unknown,,,
spotify,total,2021,,subscription_price,,9.99,usd,,,1.00E-03,usa,duetti,Graph,unknown,,,
spotify,total,2022,,payout_per_stream,,0.00387,usd,,,1.00E-03,usa,duetti,Graph,unknown,,,
spotify,total,2022,,subscription_price,,9.99,usd,,,1.00E-03,usa,duetti,Graph,unknown,,,
spotify,total,2023,,payout_per_stream,,0.00359,usd,,,1.00E-03,usa,duetti,Graph,unknown,,,
spotify,total,2023,,subscription_price,,10.99,usd,,,1.00E-03,usa,duetti,Graph,unknown,,,
spotify,total,2024,,payout_per_stream,,0.00351,usd,,,1.00E-03,usa,duetti,Graph,unknown,,,
spotify,total,2023,,subscription_price,,11.99,usd,,,1.00E-03,usa,duetti,Graph,unknown,,,
tidal,total,2024,,payout_per_stream,,0.0068,,,,1.00E-03,worldwide,duetti,Table,unknown,,,
deezer,total,2024,,payout_per_stream,,0.0048,,,,1.00E-03,worldwide,duetti,Table,unknown,,,
pandora,total,2024,,payout_per_stream,,0.0032,,,,1.00E-03,worldwide,duetti,Table,unknown,,,
apple,mac,2009,Q1,revenue,,3500000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2009,Q2,revenue,,2900000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2009,Q3,revenue,,3300000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2009,Q4,revenue,,3900000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2010,Q1,revenue,,4400000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2010,Q2,revenue,,3700000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2010,Q3,revenue,,4300000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2010,Q4,revenue,,4800000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2011,Q1,revenue,,5400000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2011,Q2,revenue,,4900000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2011,Q3,revenue,,5100000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2011,Q4,revenue,,6200000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2012,Q1,revenue,,6500000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
