event_id,artist_id
24845,287
24833,922
24844,296
24229,853
24235,165
24221,117
24246,709
24202,667
24193,205
24243,885
24188,291
24173,265
24179,252
25091,89
25091,94
25090,89
25090,94
25045,526
25062,158
25087,19
25066,118
25107,821
25063,564
25038,32
25043,1
25049,311
25096,24
23974,111
23900,32
23966,243
23975,45
23903,21
23930,348
23904,289
23947,26
23950,359
23972,908
24516,632
24541,177
24583,429
24545,448
24525,641
24560,37
24518,835
24530,289
24543,188
24604,290
24520,705
24109,36
24120,946
24135,942
24089,42
24086,289
24136,276
24126,377
24165,693
24127,355
24099,506
24335,44
24335,949
24345,449
24323,427
24262,106
24279,3
24304,110
24313,103
24315,810
24328,740
24353,367
24365,3
24418,510
24367,46
24388,590
24375,262
24375,658
24405,199
24369,7
24414,26
24011,146
23980,283
24041,145
23992,380
24059,243
23998,300
24025,253
24064,243
23999,19
23977,527
24033,10
24034,377
23984,105
24047,331
23747,311
23745,7
23770,158
23755,338
23788,486
23720,322
23784,655
23795,282
23718,322
23748,905
23754,663
23790,2
23772,23
23793,85
23750,319
23787,349
24641,591
24660,394
24629,981
24619,733
24622,152
24645,989
24642,99
24640,919
23859,979
23822,726
23847,474
23829,68
23875,423
23883,154
23818,620
23828,75
23848,958
24503,44
24450,180
24480,909
24469,118
24498,237
24486,19
24486,468
25020,165
25022,166
25033,304
25026,872
24960,467
24964,337
24967,191
24984,96
24997,210
25025,201
25025,178
24977,64
24977,235
25014,423
25014,513
25028,815
24863,283
24865,105
24871,511
24888,7
24934,462
24950,569
24899,657
24918,906
24723,425
24688,998
24709,363
24731,946
24761,384
24700,326
24686,289
24729,99
24758,139
24817,37
24858,41
24799,922
24799,926
24787,326
24828,430
24811,480
24772,45
24827,288
24824,359
24774,685
24815,569
24821,825
24831,30
24853,256
24778,365
24194,459
24229,26
24239,222
24172,105
24181,337
24187,433
24187,416
24186,416
24256,316
25103,154
25086,298
25063,552
25037,14
25047,902
25052,837
25052,834
25078,38
25095,17
25102,201
23925,521
23949,81
23976,4
23895,270
23907,337
23912,68
23927,932
23951,292
23948,26
24548,36
24577,331
24588,629
24583,558
24525,620
24598,112
24556,843
24542,323
24581,423
24593,84
24604,124
24604,277
24075,695
24150,375
24144,812
24167,873
24155,24
24163,761
24131,320
24093,7
24114,938
24107,36
24306,300
24314,240
24329,180
24272,236
24284,91
24326,575
24283,68
24270,622
24271,718
24302,37
24359,726
24356,87
24433,821
24396,38
24422,24
24406,320
24408,820
24376,213
24349,105
24398,510
24399,278
24431,8
24017,558
24068,269
23997,726
24013,64
24065,631
24008,52
23977,523
23995,726
24002,3
24033,38
24023,118
23733,808
23798,416
23798,316
23800,821
23757,95
23804,316
23753,793
23803,316
24659,225
24615,191
24667,24
24658,26
24681,559
24664,738
24610,32
24618,3
24628,187
24643,843
24672,535
23877,555
23838,325
23838,811
23844,36
23892,4
23861,270
23873,22
23890,483
23805,889
23891,730
23818,641
23858,114
24444,71
24461,301
24448,191
24507,416
24485,960
24460,262
24460,658
24480,145
24489,732
25027,873
25029,553
24959,756
25006,516
24990,683
25017,56
25023,916
24865,571
24873,236
24943,875
24889,311
24871,510
24872,79
24891,586
24937,107
24906,441
24920,210
24940,233
24904,121
24875,428
24875,582
24938,484
24770,170
24688,992
24768,4
24696,438
24766,134
24720,410
24719,334
24763,935
24705,636
24758,105
24820,761
24779,127
24783,49
24835,93
24794,723
24826,176
24826,537
24811,121
24807,552
24861,584
24255,118
24257,726
24205,158
24238,234
24193,220
24174,14
24251,873
24223,761
25073,707
25069,306
25061,36
25067,99
25050,562
23932,55
23902,515
23902,514
23913,212
23940,977
23895,283
23920,308
23906,3
23927,936
23910,46
23921,488
23946,991
23898,704
24532,281
24570,567
24536,236
24552,674
24526,326
24567,276
24564,145
24564,514
24514,14
24517,969
24518,831
24117,193
24129,698
24083,364
24144,342
24100,20
24125,542
24088,851
24124,593
24152,24
24085,797
24114,934
24263,45
24260,322
24297,239
24345,119
24344,255
24312,399
24275,910
24341,916
24304,37
24324,423
24327,740
24419,61
24353,344
24432,691
24357,412
24386,645
24003,3
24020,564
23994,337
24049,742
24015,1135
23991,87
24014,463
24014,455
24028,329
24043,491
24060,125
24023,99
24007,46
24047,318
24069,470
23799,722
23730,351
23782,270
23760,241
23778,37
